Year,Month,YM,RegUncertaintyIndex
1985,1,1,0.430142854
1985,2,2,0.662772278
1985,3,3,0.624665708
1985,4,4,0.744802822
1985,5,5,0.590428554
1985,6,6,0.610949686
1985,7,7,0.701126574
1985,8,8,0.599560994
1985,9,9,0.704993083
1985,10,10,0.803198649
1985,11,11,0.657964243
1985,12,12,0.602154607
1986,1,13,0.624380764
1986,2,14,0.675094396
1986,3,15,0.55215775
1986,4,16,0.749425058
1986,5,17,0.819938496
1986,6,18,0.466140909
1986,7,19,0.642950754
1986,8,20,0.687178651
1986,9,21,0.720607472
1986,10,22,0.544104977
1986,11,23,0.754896831
1986,12,24,0.483092379
1987,1,25,0.47804141
1987,2,26,0.739173015
1987,3,27,0.627078133
1987,4,28,0.574102021
1987,5,29,0.570338357
1987,6,30,0.607811492
1987,7,31,0.643559435
1987,8,32,0.64000824
1987,9,33,0.770102142
1987,10,34,0.619340539
1987,11,35,0.558360707
1987,12,36,0.851852826
1988,1,37,0.626059714
1988,2,38,0.74051894
1988,3,39,0.624520007
1988,4,40,0.683603042
1988,5,41,0.665471609
1988,6,42,0.601922215
1988,7,43,0.774318394
1988,8,44,0.574880753
1988,9,45,0.775619519
1988,10,46,0.596736491
1988,11,47,0.723055097
1988,12,48,0.547270608
1989,1,49,0.780481894
1989,2,50,0.674353709
1989,3,51,0.811879763
1989,4,52,0.660950392
1989,5,53,0.651883399
1989,6,54,0.575443941
1989,7,55,0.774006704
1989,8,56,0.552979142
1989,9,57,0.540504937
1989,10,58,0.630122896
1989,11,59,0.536582395
1989,12,60,0.6140818
1990,1,61,0.539531081
1990,2,62,0.715303667
1990,3,63,0.72043387
1990,4,64,0.625249077
1990,5,65,0.552690503
1990,6,66,0.763200436
1990,7,67,0.785976513
1990,8,68,0.875547034
1990,9,69,0.834598251
1990,10,70,0.754099423
1990,11,71,0.718931853
1990,12,72,0.756802358
1991,1,73,0.906280711
1991,2,74,0.596514863
1991,3,75,0.612273105
1991,4,76,0.715010151
1991,5,77,0.561367005
1991,6,78,0.660867534
1991,7,79,0.61445946
1991,8,80,0.774822107
1991,9,81,0.659485081
1991,10,82,0.601112858
1991,11,83,0.769649637
1991,12,84,0.667180757
1992,1,85,0.490236294
1992,2,86,0.74998487
1992,3,87,0.583735996
1992,4,88,0.596905641
1992,5,89,0.517680104
1992,6,90,0.549704334
1992,7,91,0.746427567
1992,8,92,0.785336621
1992,9,93,0.504864514
1992,10,94,0.697920383
1992,11,95,0.6735307
1992,12,96,0.714413557
1993,1,97,0.644883694
1993,2,98,0.655416789
1993,3,99,0.557402448
1993,4,100,0.547393913
1993,5,101,0.521473241
1993,6,102,0.515525619
1993,7,103,0.672054583
1993,8,104,0.645081746
1993,9,105,0.605802563
1993,10,106,0.551043765
1993,11,107,0.562347799
1993,12,108,0.593811683
1994,1,109,0.810754096
1994,2,110,0.66822879
1994,3,111,0.607643484
1994,4,112,0.743465839
1994,5,113,0.753175783
1994,6,114,0.775681798
1994,7,115,0.483619563
1994,8,116,0.643209614
1994,9,117,0.488594126
1994,10,118,0.671347604
1994,11,119,0.577381285
1994,12,120,0.839493733
1995,1,121,0.69045989
1995,2,122,0.65933474
1995,3,123,0.923451151
1995,4,124,0.59506724
1995,5,125,0.755704122
1995,6,126,0.909412397
1995,7,127,0.664548067
1995,8,128,0.554374631
1995,9,129,0.70702913
1995,10,130,0.878679276
1995,11,131,0.839703188
1995,12,132,0.648439039
1996,1,133,0.588043928
1996,2,134,0.717987445
1996,3,135,0.588317224
1996,4,136,0.527110362
1996,5,137,0.727098574
1996,6,138,0.593068243
1996,7,139,0.518342537
1996,8,140,0.737984422
1996,9,141,0.605554782
1996,10,142,0.810724931
1996,11,143,0.855221717
1996,12,144,0.593577598
1997,1,145,0.755424564
1997,2,146,0.519630621
1997,3,147,0.639112924
1997,4,148,0.588944476
1997,5,149,0.803755856
1997,6,150,0.670095846
1997,7,151,0.670369506
1997,8,152,0.731861982
1997,9,153,0.533754939
1997,10,154,0.585094301
1997,11,155,0.57639578
1997,12,156,0.626529322
1998,1,157,0.707780556
1998,2,158,0.640003248
1998,3,159,0.654509495
1998,4,160,0.666284542
1998,5,161,0.589090521
1998,6,162,0.648171311
1998,7,163,0.591770359
1998,8,164,0.597127656
1998,9,165,0.578379169
1998,10,166,0.607546276
1998,11,167,0.702681915
1998,12,168,0.864305912
1999,1,169,0.679236826
1999,2,170,0.685394188
1999,3,171,0.634560449
1999,4,172,0.783608747
1999,5,173,0.649216451
1999,6,174,0.635102369
1999,7,175,0.623046608
1999,8,176,0.620479967
1999,9,177,0.672876962
1999,10,178,0.623905628
1999,11,179,0.66124241
1999,12,180,0.59699135
2000,1,181,0.70363662
2000,2,182,0.687899782
2000,3,183,0.714573923
2000,4,184,0.716807704
2000,5,185,0.738252876
2000,6,186,0.577949809
2000,7,187,0.610680548
2000,8,188,0.737761873
2000,9,189,0.64432878
2000,10,190,0.703060742
2000,11,191,0.597109054
2000,12,192,0.623884237
2001,1,193,0.724391071
2001,2,194,0.724934878
2001,3,195,0.703955361
2001,4,196,0.736597609
2001,5,197,0.69587372
2001,6,198,0.669038294
2001,7,199,0.659777833
2001,8,200,0.674157836
2001,9,201,0.790412964
2001,10,202,0.693755966
2001,11,203,0.785461958
2001,12,204,0.77003109
2002,1,205,0.622644899
2002,2,206,0.638620567
2002,3,207,0.724026421
2002,4,208,0.600852052
2002,5,209,0.637173863
2002,6,210,0.579864711
2002,7,211,0.631549959
2002,8,212,0.787267242
2002,9,213,0.677118181
2002,10,214,0.616788748
2002,11,215,0.57258024
2002,12,216,0.62750395
2003,1,217,0.732129328
2003,2,218,0.695618086
2003,3,219,0.581752791
2003,4,220,0.682016196
2003,5,221,0.707988741
2003,6,222,0.701731269
2003,7,223,0.785968876
2003,8,224,0.637090862
2003,9,225,0.625448226
2003,10,226,0.53051474
2003,11,227,0.650918658
2003,12,228,0.564986114
2004,1,229,0.702866765
2004,2,230,0.634229799
2004,3,231,0.707841535
2004,4,232,0.684158068
2004,5,233,0.751406897
2004,6,234,0.757927537
2004,7,235,0.604336562
2004,8,236,0.677577191
2004,9,237,0.832783694
2004,10,238,0.714814647
2004,11,239,0.755758244
2004,12,240,0.699093555
2005,1,241,0.597493913
2005,2,242,0.631873902
2005,3,243,0.703640348
2005,4,244,0.789446049
2005,5,245,0.625948899
2005,6,246,0.777228208
2005,7,247,0.728967569
2005,8,248,0.700285711
2005,9,249,0.728444329
2005,10,250,0.6801357
2005,11,251,0.728382264
2005,12,252,0.753805592
2006,1,253,0.644404852
2006,2,254,0.601447173
2006,3,255,0.711722646
2006,4,256,0.777422474
2006,5,257,0.73841978
2006,6,258,0.714047268
2006,7,259,0.605944539
2006,8,260,0.665039403
2006,9,261,0.620080426
2006,10,262,0.61395411
2006,11,263,0.686727832
2006,12,264,0.67799269
2007,1,265,0.726121609
2007,2,266,0.662627787
2007,3,267,0.601423986
2007,4,268,0.658839108
2007,5,269,0.672583678
2007,6,270,0.737976049
2007,7,271,0.64451471
2007,8,272,0.56564796
2007,9,273,0.57394192
2007,10,274,0.674749638
2007,11,275,0.57718597
2007,12,276,0.685466084
2008,1,277,0.693344517
2008,2,278,0.796842375
2008,3,279,0.604837164
2008,4,280,0.720836519
2008,5,281,0.820507977
2008,6,282,0.72255692
2008,7,283,0.698209137
2008,8,284,0.690821233
2008,9,285,0.73786569
2008,10,286,0.647633445
2008,11,287,0.694741244
2008,12,288,0.649980596
2009,1,289,0.722181554
2009,2,290,0.678979233
2009,3,291,0.748873625
2009,4,292,0.573687924
2009,5,293,0.878859908
2009,6,294,0.790252549
2009,7,295,0.718143421
2009,8,296,0.78156375
2009,9,297,0.559242508
2009,10,298,0.737941354
2009,11,299,0.71255039
2009,12,300,0.666313869
2010,1,301,0.739012779
2010,2,302,0.703745895
2010,3,303,0.726957225
2010,4,304,0.717235561
2010,5,305,0.73775754
2010,6,306,0.706213327
2010,7,307,0.673877729
2010,8,308,0.73040038
2010,9,309,0.696712194
2010,10,310,0.74011155
2010,11,311,0.797416303
2010,12,312,0.672774941
2011,1,313,0.654344116
2011,2,314,0.65222123
2011,3,315,0.717119802
2011,4,316,0.69731475
2011,5,317,0.706064839
2011,6,318,0.700354309
2011,7,319,0.784832081
2011,8,320,0.694301846
2011,9,321,0.637982011
2011,10,322,0.639472862
2011,11,323,0.643731318
2011,12,324,0.654336087
2012,1,325,0.661910654
2012,2,326,0.677002121
2012,3,327,0.616614066
2012,4,328,0.685753313
2012,5,329,0.672351114
2012,6,330,0.693212851
2012,7,331,0.696297257
2012,8,332,0.50995437
2012,9,333,0.693803047
2012,10,334,0.618139057
2012,11,335,0.690685278
2012,12,336,0.814283453
2013,1,337,0.755284587
2013,2,338,0.681725659
2013,3,339,0.727029847
2013,4,340,0.7686401
2013,5,341,0.603554392
2013,6,342,0.728037481
2013,7,343,0.538057404
2013,8,344,0.660772084
2013,9,345,0.630057055
2013,10,346,0.710166824
2013,11,347,0.573772368
2013,12,348,0.640127753
2014,1,349,0.726650177
2014,2,350,0.699454919
2014,3,351,0.706071507
2014,4,352,0.555533381
2014,5,353,0.67473683
2014,6,354,0.651120855
2014,7,355,0.65435159
2014,8,356,0.690503306
2014,9,357,0.689483507
2014,10,358,0.580200646
2014,11,359,0.710825758
2014,12,360,0.793721004
2015,1,361,0.701275832
2015,2,362,0.670026032
2015,3,363,0.632537415
2015,4,364,0.733090407
2015,5,365,0.649842488
2015,6,366,0.590509912
2015,7,367,0.629495513
2015,8,368,0.625193173
2015,9,369,0.590782639
2015,10,370,0.733475627
2015,11,371,0.767678243
2015,12,372,0.53921615
2016,1,373,0.743161146
2016,2,374,0.681183002
2016,3,375,0.707184213
2016,4,376,0.747934231
2016,5,377,0.743158152
2016,6,378,0.67993487
2016,7,379,0.736973717
2016,8,380,0.626691367
2016,9,381,0.657385672
2016,10,382,0.640295412
2016,11,383,0.791275214
2016,12,384,0.661103368
2017,1,385,0.639966561
2017,2,386,0.695154729
2017,3,387,0.76367998
2017,4,388,0.571113
2017,5,389,0.554163459
2017,6,390,0.799456992
2017,7,391,0.594948537
2017,8,392,0.577698862
2017,9,393,0.63638268
2017,10,394,0.697022451
2017,11,395,0.570379743
2017,12,396,0.643282666
2018,1,397,0.596090449
2018,2,398,0.667583612
2018,3,399,0.625600592
2018,4,400,0.667651549
2018,5,401,0.640051843
2018,6,402,0.687017272
2018,7,403,0.620458632
2018,8,404,0.624922083
2018,9,405,0.649653207
2018,10,406,0.708680423
2018,11,407,0.610172351
2018,12,408,0.618477953
2019,1,409,0.615098915
2019,2,410,0.571141655
2019,3,411,0.556247845
2019,4,412,0.660494949
2019,5,413,0.682125704
2019,6,414,0.756244029
2019,7,415,0.7280655
2019,8,416,0.611613906
2019,9,417,0.599113217
2019,10,418,0.640042599
2019,11,419,0.587833314
2019,12,420,0.670305438
2020,1,421,0.717291357
2020,2,422,0.581316178
2020,3,423,0.650169651
2020,4,424,0.609867382
2020,5,425,0.55769637
2020,6,426,0.696408682
2020,7,427,0.588341738
2020,8,428,0.695831617
2020,9,429,0.524428895
2020,10,430,0.5925416
2020,11,431,0.83023343
2020,12,432,0.54903136
2021,1,433,0.678333714
2021,2,434,0.664290586
2021,3,435,0.658850387
2021,4,436,0.635726571
2021,5,437,0.633161526
2021,6,438,0.607300728
2021,7,439,0.666114199
2021,8,440,0.668575913
2021,9,441,0.728430564
2021,10,442,0.642685308
2021,11,443,0.656703497
2021,12,444,0.664037038
